RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
102001,0,United States,country,,140.17865482454266,140.79401601348505,142.76567767153296,143.2502944086382,146.0076560697484,147.60213603369587,147.82608695652175,150.6002989536622,150.79129244405988,151.96435190087897,152.66532202646937,151.25927492120314,149.04190008702273,149.7005988023952,149.4855480428318,150.0,152.40257283390088,150.25658205523888,152.15212934875342,153.11244979919678,153.67592820260634,154.17457305502847,153.9546575593203,154.38334219637107,154.0,153.40309671754693,153.55234250073704,151.8138407590759,150.3358356380877,152.4617961941721,156.74603174603175,160.0704450366651,162.08805140259398,164.83975847654435,165.50077805040175,166.43011463231406,161.7741083735993,165.50324675324674,167.39576213260423,170.7501494321578,173.14724131215047,176.32602991491564,179.66360856269114,181.12585920235716,185.3832442067736,188.8902864960915,190.36738250308045,194.88039144617616,192.87833827893175,193.7861369399831,195.26641949152543,200.0,202.45296086072517,203.5724399494311,205.19603608126064,206.68089141773353,206.83870087034214,207.71735995045344,206.88186095138525,204.2754025541366,201.64543524416135,202.23398001175778,205.7422631017011,208.96364329520645,211.98676470588236,210.93810821331257,210.47697368421052,208.90369473046638,208.63636363636363,208.44410211267606,204.8146531516239,206.24603640634174,203.54225681457578,202.93547665799008,206.168102538766,208.33333333333334,208.75460178456882,208.33333333333334,208.19749809637767,210.3207302473456,210.20420420420422,214.70160116448326,215.53632102531293
394913,1,"New York, NY",msa,NY,236.51210265383494,234.6907422563586,245.84424242424242,252.37130238555773,246.7232702408914,269.170579029734,278.6619351100811,255.04007772649987,240.330615942029,266.0,279.76190476190476,258.0681818181818,266.6666666666667,274.23338916806256,276.5625,260.3448275862069,282.60826086956524,282.548435483871,291.6666666666667,292.3226425233787,278.72520833333334,279.9390243902439,269.2307692307692,290.7465103140373,291.93548387096774,277.23785166240407,287.78973509933775,318.64663962183505,265.0,290.3863636363636,286.6666666666667,290.6148867313916,293.78674402444267,310.5263157894737,314.51612903225805,337.5,292.1875,346.73518742442565,362.5079164027866,357.05491258310764,386.84719535783364,370.1117318435754,369.47152584339216,371.4866714697406,382.8462224050459,410.7425663970817,344.4621520549069,350.70175438596493,398.5507246376812,331.3758389261745,364.24242424242425,404.5008269801035,410.02645502645504,394.7374677002584,421.25555555555553,472.4998076775137,385.3887399463807,485.50116386554623,537.6344086021505,509.4648138434753,435.75812608341437,434.7007654204862,555.5555555555555,498.89393515563177,440.5467190417928,514.7058823529412,467.8040726472207,460.14834573403334,471.1495,456.40901656884324,477.9055878928987,478.4164730448848,460.7529597877118,439.89583333333337,516.9671752196024,484.31480462300493,490.38461538461536,488.4556361607143,471.9828767123288,538.8186986734049,529.163522100477,444.80850433012813,494.175
753899,2,"Los Angeles, CA",msa,CA,387.41302972802026,398.0386501297952,423.75742574257424,423.9280437358167,466.2012633087939,469.74480676328506,438.6328327291559,476.0993812674741,487.7527164526233,480.36202927507276,430.505174963036,459.11674682990815,435.92436974789916,402.97711313636876,439.44444444444446,472.4918875067604,483.30832263797015,469.7053918843802,507.85714285714283,540.0,518.7666358244953,577.9325115548118,520.6521739130435,471.5585893060296,578.7240537240538,596.5591397849462,597.1052631578947,548.8652153774896,527.1476735138915,599.5749914409512,561.1153416789448,526.7313331829461,617.9196704428424,524.814603536794,547.6933882496764,538.5774164090877,563.6710066687838,516.0569948186528,567.8947368421053,684.7758805942259,626.1595547309834,575.7978723404256,624.2348281897184,601.8376722817765,645.862294247058,595.603963034289,555.1440329218107,541.4194174332677,608.7877183695077,606.0815188304555,668.8903713586835,657.5185820468839,833.8483375452097,812.8308322683952,703.1368102796674,739.2896597917518,659.4949095642266,651.9607843137255,612.0192853091322,600.898380100133,633.0919753967928,598.4261795258951,728.7475,672.4365826112567,676.0874709267093,727.5928626247122,592.5925925925926,642.9215679693924,667.5204117855875,662.1578786004916,607.5385918533534,552.7575376884422,661.5704980695243,579.9561883899233,665.2702136573105,584.8291835552982,578.7194076002454,595.060559972577,658.0050293378039,580.4918493535694,678.4395024500566,676.7600364974815,619.5425756509501
394463,3,"Chicago, IL",msa,IL,151.08695652173913,152.94117647058823,150.32168121003065,165.46364861319788,161.76470588235293,164.80227956973923,168.3748169838946,153.79564776107404,165.72547366039404,156.33760107816713,157.10455764075067,152.33485193621868,142.13063270361098,145.94594594594594,159.9102560445599,162.2066690133815,169.61660474206434,174.07040417209907,183.64604348249878,170.497093288391,163.25907842538908,176.8301699604371,156.8912940079555,170.99721448467966,162.5237399561724,172.98135322322855,170.65115788438243,179.71036166301127,161.5896531452087,180.34156582022788,166.29320553622972,174.0989615149664,175.31094527363183,179.795,167.14285714285714,170.2141870105942,183.1103583032138,175.59912406742194,186.9794520547945,186.3013698630137,183.51421211648164,193.6105738233398,193.99319984888552,182.3255651200224,187.63808753742046,197.6752931661949,192.25,195.3113933795227,193.19571045576407,197.05689354743782,198.44870359586747,210.50319588363067,201.0713431646074,213.3320610687023,212.6770134228188,199.61185213944523,203.0798845043311,197.13977334052888,200.72884456813028,196.1093585699264,197.63118867546515,199.92418441984734,197.52592592592592,206.77616180927777,214.78882833787466,213.56727487604275,201.4194995082545,201.40194153577661,203.3920954207222,202.77326823314007,202.47047179148797,210.37037037037038,203.57142857142858,205.15873015873015,206.51711454985255,217.95206643145622,216.52319902319903,222.495,223.29915806626832,215.0189690173308,216.94926568758345,217.1505245715329,209.8390399737877
394514,4,"Dallas, TX",msa,TX,131.16161616161617,131.33869114475377,132.5803041289023,131.97322384862548,136.24715694312374,137.61978893258757,138.6587396475968,138.1346627751697,139.98008970626933,139.27355332213588,137.10232158211522,136.43583558015231,137.56839995023228,138.86143150119653,136.54891304347825,138.0003528003528,139.14464285714286,138.50889192886456,140.65934065934067,139.4314139214818,141.02976304679925,141.07358262967432,140.2020618556701,139.91477272727272,141.54281670205236,142.2798552472859,143.13129981398566,144.07364341085272,141.85034864643148,142.4426511738714,144.56962902650912,145.27687296416937,145.98220600942057,148.18355640535373,149.72180125219688,151.19165839126117,151.0,153.68551649696576,154.27769985974754,159.29825109306682,163.29357798165137,166.09907120743034,169.4109131403118,170.54030590791226,176.34405670665214,176.84724214229473,180.01722652885442,181.57302052785923,185.3579952267303,187.6421923474664,191.74398489793987,196.95263157894738,201.00502512562815,206.8089430894309,205.09640704932758,204.9029683011468,202.2340123490821,200.2240926605465,198.3626389918458,198.1651376146789,195.8672393007836,194.16564417177915,199.5006234413965,200.0,199.65952890792292,197.28984841525033,198.98556379243075,197.14086018448933,196.6125,194.26502084925795,192.11297628563815,192.84747988057583,191.19571347997743,189.81058516311742,194.98504784688996,196.32093020588184,194.27527405602925,193.7506284565108,194.50363965912913,193.91212505280947,195.07340469355265,197.79780219780218,201.75824175824175
394692,5,"Houston, TX",msa,TX,115.19153394803017,115.2257863593896,117.92116182572614,118.65931592948903,119.53657253328113,120.70120486380604,121.5065913370998,122.95081967213115,123.65029606408916,123.16129032258064,122.50094011138401,123.46813725490196,122.24566478921318,123.32207207207207,125.79513442983026,125.01440922190201,126.50779641070903,126.85050798258345,128.9198606271777,130.48218262806236,130.54348957935986,128.8119727091452,130.62370116512344,130.76340785377326,124.37774524158127,127.49003984063745,128.053585500394,127.11675712243223,126.82763636343651,130.05374271598276,130.00549273021002,130.28639916203366,131.5591232274606,135.60932315431975,135.30066815144767,137.64880952380952,137.13610521674022,138.90967397113843,144.93337774816789,148.5893380698995,149.64311138549718,154.21816227834498,154.98154981549814,155.94186826986922,158.79396984924622,159.8375568551007,164.87633965375102,165.83194212576515,163.03810388246706,166.37127013363641,169.77348434377083,174.86691305253697,175.42049510900654,178.2239407140225,178.12344656172328,179.62962962962962,178.75737591114196,174.58440741905062,173.52224648560122,172.51094974642695,169.31216931216932,170.56487419832266,174.6635435834297,172.00557103064068,176.0,170.77316657191585,172.19958506224066,172.09997283346917,171.0772520716386,169.52983725135624,168.0909090909091,171.79384738314022,168.65244089653055,167.3750399311554,173.22272498743087,173.47343378271214,173.00963081861957,173.3493846976993,173.6484067311135,171.13051538746757,172.68609538170327,176.31931213611247,170.8620078770266
395209,6,"Washington, DC",msa,VA,194.3885485612355,189.5596064814815,194.1984505363528,193.92423076923077,193.03534609720177,194.73237964458804,193.77590058333146,199.10427107539826,197.47939124920737,199.04191616766468,184.86270503658687,189.8710346237013,190.0690625,183.8245308317147,193.38541666666666,199.63235294117646,193.71554135037954,197.7820221248877,199.6167358671351,201.83790180680546,217.50024534411438,189.0774586597041,195.96327333957805,200.83451202263083,224.6947319990798,205.6761006289308,199.7800586510264,216.50118810737382,215.9500221141088,205.43504531722056,233.36410714285714,224.44897959183675,240.33437826541274,233.75970977379427,229.9651567944251,234.63737201365188,228.76333333333332,242.60264475331007,246.763820470717,242.83507496592458,237.22062767801657,246.16891939582155,259.41583397386626,251.35754431474277,263.28333333333336,281.4388282596209,264.27799394725463,256.5025522267657,256.91838459860384,254.61262185736274,259.6166666666667,258.1815714076309,257.67543859649123,265.1995979692646,279.1622940817572,262.55861555638256,266.666,269.6880907372401,281.01520281390776,287.04839488386983,277.0841399044922,282.73809523809524,280.21015761821366,281.0656793303284,277.89733463004256,287.4873010497799,292.4430246911611,284.32732316227464,271.25,276.99840357598976,279.73396226415093,285.60995437766246,285.0730158730159,289.75536163522014,294.7368421052632,285.2713458755427,287.7638053688637,284.40410958904107,287.4206793579694,289.8968227972486,288.80426784400294,298.2411948283549,290.6419674225487
394974,7,"Philadelphia, PA",msa,PA,170.0343118566527,170.0,178.04629865174255,197.94683105949787,179.16666666666666,175.76351205652168,178.73034188034188,173.07692307692307,172.86461102250576,181.2009137938989,182.1180165289256,174.16769420468557,170.86790085258525,170.47837150127228,167.816091954023,177.30521102072768,176.11499510210234,183.3441418726855,178.75,178.20987940784545,173.64766081871346,179.77528089887642,176.31578947368422,178.11802806765024,174.10631741140216,174.36380772855796,189.2458918790188,184.92106485064232,187.89930555555554,183.61702127659575,191.30067567567568,191.10859728506787,189.08679593721146,192.444490153127,190.35332722832723,199.08478682170542,190.6659492204082,195.79577944179715,205.08837440876277,208.72811824313422,210.02710027100272,213.41463414634146,218.660477582846,217.20907346599677,217.14068423839643,224.8265625,230.86269744835965,227.22905251904317,225.85004599816008,221.02083333333334,227.37085352217667,233.28571428571428,247.90196078431373,247.67838125665602,254.6681749622926,250.781580361166,250.1738063212832,255.09753593429159,248.58113660477454,259.96099463676256,248.9759916492693,245.10984020618557,275.2969158389963,267.379679144385,256.1049082053203,251.19574116219087,243.75,244.48015548281506,245.49075481428827,248.66,248.71134741075917,252.99390565429974,262.6093514328808,249.11229551333014,242.47491638795987,262.5,256.9140625,258.67941454202077,266.66333333333336,266.9789227166276,273.32666666666665,274.468085106383,277.4735304855787
394856,8,"Miami, FL",msa,FL,198.58122487585717,205.34871794871796,191.51846785225717,197.44744744744744,196.96920021092376,204.31773236651284,195.39614561027838,196.4621966140523,202.18572158554508,198.55150397022317,198.16272965879264,199.74358974358972,191.70972396778848,198.18467695826186,204.68917981178106,200.89433587280556,215.07822833553126,197.0108695652174,207.7263962810544,219.02017291066284,216.26589797344513,213.69671558350802,222.236260265319,210.82894106372783,223.1237322515213,215.73604060913706,213.4135301973636,208.87291546866015,220.05710634195344,215.93959731543623,220.3708281829419,222.64238927165962,249.19067545636076,240.60054364518092,249.42708333333334,257.093253968254,247.91666666666666,265.7285243080453,272.74162854278944,267.4852335517155,292.96682830838427,302.0530886965842,299.18942948622407,275.7111597374179,300.37991002852755,282.95380537675123,296.7384749459134,324.31129934611323,327.2357723577236,307.7217125382263,312.883008356546,339.3143507123145,320.06354916067147,341.4711013463378,343.79693971857705,306.96616792402585,307.495,322.5806451612903,310.41372479099806,302.82813164610803,346.63990825688074,331.8823374225036,355.8454811940419,350.609756097561,341.1560044893378,370.4628499834697,343.8764992503748,329.7398256916656,347.8076379066478,352.27272727272725,365.92360165102883,382.4719129952827,374.71977002232575,364.00468933177024,414.06690850463525,408.98016011138185,377.1204880836191,372.6211453744493,365.5690951516723,372.9456384323641,412.4214757601098,454.6577418540035,418.88273630480353
394347,9,"Atlanta, GA",msa,GA,102.37921785421786,104.05833015630957,104.56409448818897,106.57690149407281,109.01714161138622,111.16993118051879,108.85730414294129,108.97137710326886,111.73594132029339,115.42018668496911,117.13108723695879,114.34621492853361,106.99417152373023,110.31972947761194,112.85065211780734,112.96402055968018,114.87484810346324,113.88815789473684,118.35656639765224,117.33154542406973,121.44103381500219,118.89136824590341,117.85714285714286,122.37073513893775,119.51341421736159,123.23694337548103,127.44278846153846,127.48302107728337,121.81772727272727,126.27688172043011,127.67373045940069,131.5225334957369,131.76228876919177,135.62211494148667,137.76371308016877,138.94194248507867,138.63718958207147,141.16504297994268,148.3175025877061,151.1627906976744,156.14426859192514,159.24355971896955,158.84615384615384,157.0253863134658,158.17554240631165,163.45269655620532,163.75266989354597,168.60894705561884,163.57580665254767,167.13550328838033,174.76303317535545,175.49959871589084,180.0,186.61679135494597,181.83503831940226,186.07469717362045,186.68510506798518,180.68854166666668,184.3799162968939,184.94592900107634,183.9303000968054,190.75711322240758,190.5487804878049,194.71132365965616,200.74109824109826,195.73037738556462,191.7376988133265,182.81012613448988,190.849432643846,194.4999055266887,190.18867924528303,195.53877831159917,190.1102661596958,192.03845441564079,190.84848484848484,196.95884131482856,192.30769230769232,190.13987884255977,193.99928135106,192.60556752378736,196.21647509578543,195.5267358339984,198.1541802388708
